eventmsgtype,period,pctimestring,score,scoremargin,player1_name,player2_name,player3_name,homedescription,visitordescription,neutraldescription
MADE FG - ASSIST,2,2:54,61 - 52,-9,Jalen Williams,,,,Jal. Williams 2' Driving Layup (8 PTS),
MISS-BLOCK,2,2:37,,,Nikola Vucevic,,,MISS Vucevic 3PT Jump Shot,,
DREB-OREB,2,2:35,,,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander REBOUND (Off:0 Def:3),
MISS-BLOCK,2,2:21,,,Jalen Williams,,,,MISS Jal. Williams 27' 3PT Jump Shot,
DREB-OREB,2,2:19,,,Nikola Vucevic,,,Vucevic REBOUND (Off:0 Def:4),,
FOUL,2,2:14,,,Mike Muscala,Zach LaVine,,,Muscala S.FOUL (P2.T2) (D.Taylor),
9,2,2:14,,,,,,,Thunder Timeout: Regular (Reg.2 Short 0),
SUBSTITUTION,2,2:14,,,Darius Bazley,Kenrich Williams,,,SUB: K. Williams FOR Bazley,
MADE FG - ASSISTSUBSTITUTION,2,2:14,61 - 52,-9,Robert Parish,,,,,Instant Replay2nd Period (8:58 PM EST)
MADE FREE THROW,2,2:14,61 - 53,-8,Zach LaVine,,,LaVine Free Throw 1 of 2 (11 PTS),,
MADE FREE THROW,2,2:14,61 - 54,-7,Zach LaVine,,,LaVine Free Throw 2 of 2 (12 PTS),,
MADE FG - ASSIST,2,1:49,64 - 54,-10,Mike Muscala,Shai Gilgeous-Alexander,,,Muscala 24' 3PT Jump Shot (6 PTS) (Gilgeous-Alexander 3 AST),
MADE FG - ASSIST,2,1:49,64 - 54,-10,Mike Muscala,Shai Gilgeous-Alexander,,,Muscala 24' 3PT Jump Shot (6 PTS) (Gilgeous-Alexander 3 AST),
MISS-BLOCK,2,1:34,,,Zach LaVine,,,MISS LaVine 26' 3PT Step Back Jump Shot,,
DREB-OREB,2,1:30,,,Kenrich Williams,,,,K. Williams REBOUND (Off:0 Def:3),
MADE FG - ASSIST,2,1:23,66 - 54,-12,Shai Gilgeous-Alexander,,,,Gilgeous-Alexander 2' Driving Layup (13 PTS),
MISS-BLOCK,2,1:17,,,Coby White,,,MISS White 25' 3PT Jump Shot,,
DREB-OREB,2,1:13,,,Kenrich Williams,,,,K. Williams REBOUND (Off:0 Def:4),
MADE FG - ASSIST,2,1:09,68 - 54,-14,Luguentz Dort,,,,Dort 2' Driving Layup (9 PTS),
MADE FG - ASSIST,2,0:46,68 - 56,-12,Coby White,Zach LaVine,,White 2' Driving Layup (14 PTS) (LaVine 3 AST),,
MADE FG - ASSIST,2,0:33,70 - 56,-14,Jalen Williams,Shai Gilgeous-Alexander,,,Jal. Williams Cutting Dunk Shot (10 PTS) (Gilgeous-Alexander 4 AST),
FOUL,2,0:28,,,Shai Gilgeous-Alexander,Zach LaVine,,,Gilgeous-Alexander S.FOUL (P3.T3) (B.Adair),
MADE FREE THROW,2,0:28,70 - 57,-13,Zach LaVine,,,LaVine Free Throw 1 of 2 (13 PTS),,
MADE FREE THROW,2,0:28,70 - 58,-12,Zach LaVine,,,LaVine Free Throw 2 of 2 (14 PTS),,
SUBSTITUTION,2,0:28,,,Kenrich Williams,Josh Giddey,,,SUB: Giddey FOR K. Williams,
